2018-05-26 18:10:28.388 [http-nio-8080-exec-1] INFO  com.example.logtest.LogController - hello, /info
2018-05-26 18:10:28.388 [http-nio-8080-exec-1] WARN  com.example.logtest.LogController - hello, /warn
2018-05-26 18:10:28.388 [http-nio-8080-exec-1] ERROR com.example.logtest.LogController - hello, /error
2018-05-26 18:10:55.574 [http-nio-8080-exec-1] INFO  com.example.logtest.LogController - hello, /info
2018-05-26 18:10:55.574 [http-nio-8080-exec-1] WARN  com.example.logtest.LogController - hello, /warn
2018-05-26 18:10:55.574 [http-nio-8080-exec-1] ERROR com.example.logtest.LogController - hello, /error
2018-05-26 18:14:05.396 [INFO ] [com.example.logtest.LogController] - hello, /info
2018-05-26 18:14:05.396 [WARN ] [com.example.logtest.LogController] - hello, /warn
2018-05-26 18:14:05.396 [ERROR] [com.example.logtest.LogController] - hello, /error
2018-05-26 18:14:37.626 [INFO] [com.example.logtest.LogController] - hello, /info
2018-05-26 18:14:37.626 [WARN] [com.example.logtest.LogController] - hello, /warn
2018-05-26 18:14:37.626 [ERROR] [com.example.logtest.LogController] - hello, /error
18:17:21.227 [INFO ] [com.example.logtest.LogController] - hello, /info
18:17:21.227 [WARN ] [com.example.logtest.LogController] - hello, /warn
18:17:21.227 [ERROR] [com.example.logtest.LogController] - hello, /error
